,Date,Type,Price,Size
0,2016-09-05 10:09:05,TRADE,13.79,1000
1,2016-09-05 10:09:05,BID,13.79,13300
2,2016-09-05 10:09:05,ASK,13.8,43300
3,2016-09-05 10:09:05,TRADE,13.8,100
4,2016-09-05 10:09:05,TRADE,13.8,400
5,2016-09-05 10:09:05,TRADE,13.8,2800
6,2016-09-05 10:09:05,ASK,13.8,40000
8,2016-09-05 10:09:05,ASK,13.8,45000
9,2016-09-05 10:09:05,BID,13.79,18300
10,2016-09-05 10:09:05,ASK,13.8,40000
11,2016-09-05 10:09:05,ASK,13.8,40100
12,2016-09-05 10:09:05,TRADE,13.79,500
13,2016-09-05 10:09:05,BID,13.79,17800
14,2016-09-05 10:09:05,TRADE,13.79,300
15,2016-09-05 10:09:05,TRADE,13.79,200
16,2016-09-05 10:09:05,BID,13.79,17300
17,2016-09-05 10:09:05,TRADE,13.8,100
18,2016-09-05 10:09:05,ASK,13.8,40000
19,2016-09-05 10:09:05,BID,13.79,17400
20,2016-09-05 10:09:05,TRADE,13.8,100
21,2016-09-05 10:09:05,ASK,13.8,39900
22,2016-09-05 10:09:05,TRADE,13.8,100
23,2016-09-05 10:09:05,ASK,13.8,39800
24,2016-09-05 10:09:05,TRADE,13.8,100
25,2016-09-05 10:09:05,ASK,13.8,39700
26,2016-09-05 10:09:05,TRADE,13.79,500
27,2016-09-05 10:09:05,BID,13.79,16900
28,2016-09-05 10:09:05,TRADE,13.8,100
29,2016-09-05 10:09:05,ASK,13.8,39600
30,2016-09-05 10:09:05,TRADE,13.8,100
31,2016-09-05 10:09:05,ASK,13.8,39500
32,2016-09-05 10:09:05,TRADE,13.8,100
33,2016-09-05 10:09:05,ASK,13.8,39400
34,2016-09-05 10:09:05,TRADE,13.79,500
35,2016-09-05 10:09:05,BID,13.79,16400
36,2016-09-05 10:09:05,TRADE,13.8,100
37,2016-09-05 10:09:05,ASK,13.8,39300
38,2016-09-05 10:09:05,TRADE,13.79,500
39,2016-09-05 10:09:05,BID,13.79,15900
40,2016-09-05 10:09:05,TRADE,13.79,1000
41,2016-09-05 10:09:05,BID,13.79,14900
42,2016-09-05 10:09:05,TRADE,13.8,100
43,2016-09-05 10:09:05,ASK,13.8,39200
44,2016-09-05 10:09:05,TRADE,13.8,100
45,2016-09-05 10:09:05,ASK,13.8,39100
46,2016-09-05 10:09:05,TRADE,13.8,100
47,2016-09-05 10:09:05,ASK,13.8,39000
48,2016-09-05 10:09:05,ASK,13.8,51500
49,2016-09-05 10:09:05,TRADE,13.8,100
50,2016-09-05 10:09:05,ASK,13.8,51400
51,2016-09-05 10:09:05,TRADE,13.79,300
52,2016-09-05 10:09:05,TRADE,13.79,200
53,2016-09-05 10:09:05,BID,13.79,14400
54,2016-09-05 10:09:05,TRADE,13.8,100
55,2016-09-05 10:09:05,ASK,13.8,51300
56,2016-09-05 10:09:05,TRADE,13.79,600
57,2016-09-05 10:09:05,TRADE,13.79,100
58,2016-09-05 10:09:05,BID,13.79,13700
59,2016-09-05 10:09:05,TRADE,13.79,100
60,2016-09-05 10:09:05,BID,13.79,13600
61,2016-09-05 10:09:05,TRADE,13.8,100
62,2016-09-05 10:09:05,ASK,13.8,51200
63,2016-09-05 10:09:05,TRADE,13.79,500
64,2016-09-05 10:09:05,BID,13.79,13100
65,2016-09-05 10:09:05,TRADE,13.8,100
66,2016-09-05 10:09:05,ASK,13.8,51100
67,2016-09-05 10:09:05,TRADE,13.8,100
68,2016-09-05 10:09:05,ASK,13.8,51000
69,2016-09-05 10:09:05,TRADE,13.79,200
70,2016-09-05 10:09:05,BID,13.79,12900
71,2016-09-05 10:09:05,ASK,13.8,51200
72,2016-09-05 10:09:05,TRADE,13.8,100
73,2016-09-05 10:09:05,ASK,13.8,51100
74,2016-09-05 10:09:05,TRADE,13.79,500
75,2016-09-05 10:09:05,BID,13.79,12400
76,2016-09-05 10:09:05,BID,13.79,14500
77,2016-09-05 10:09:05,TRADE,13.8,3000
78,2016-09-05 10:09:05,ASK,13.8,48100
79,2016-09-05 10:09:05,TRADE,13.79,500
80,2016-09-05 10:09:05,BID,13.79,14000
81,2016-09-05 10:09:05,BID,13.79,14600
82,2016-09-05 10:09:05,TRADE,13.79,500
83,2016-09-05 10:09:05,BID,13.79,14100
84,2016-09-05 10:09:05,ASK,13.8,48600
85,2016-09-05 10:09:05,TRADE,13.8,500
86,2016-09-05 10:09:05,ASK,13.8,48100
87,2016-09-05 10:09:05,TRADE,13.8,2000
88,2016-09-05 10:09:05,ASK,13.8,46100
89,2016-09-05 10:09:05,ASK,13.8,46600
90,2016-09-05 10:09:05,TRADE,13.8,400
91,2016-09-05 10:09:05,TRADE,13.8,100
92,2016-09-05 10:09:05,TRADE,13.8,100
93,2016-09-05 10:09:05,TRADE,13.8,100
94,2016-09-05 10:09:05,TRADE,13.8,100
95,2016-09-05 10:09:05,TRADE,13.8,300
96,2016-09-05 10:09:05,TRADE,13.8,500
97,2016-09-05 10:09:05,TRADE,13.8,1000
98,2016-09-05 10:09:05,TRADE,13.8,1000
99,2016-09-05 10:09:05,TRADE,13.8,4400
100,2016-09-05 10:09:05,TRADE,13.8,300
101,2016-09-05 10:09:05,TRADE,13.8,200
102,2016-09-05 10:09:05,TRADE,13.8,1500
103,2016-09-05 10:09:05,ASK,13.8,36600
104,2016-09-05 10:09:05,TRADE,13.79,1000
105,2016-09-05 10:09:05,BID,13.79,13100
106,2016-09-05 10:09:06,TRADE,13.8,500
107,2016-09-05 10:09:06,TRADE,13.8,200
108,2016-09-05 10:09:06,ASK,13.8,35900
109,2016-09-05 10:09:06,BID,13.79,13300
110,2016-09-05 10:09:06,TRADE,13.8,200
111,2016-09-05 10:09:06,BID,13.79,13200
112,2016-09-05 10:09:06,ASK,13.8,35700
113,2016-09-05 10:09:06,TRADE,13.8,300
114,2016-09-05 10:09:06,BID,13.79,13000
115,2016-09-05 10:09:06,ASK,13.8,35400
116,2016-09-05 10:09:06,BID,13.79,13100
117,2016-09-05 10:09:06,ASK,13.8,45700
118,2016-09-05 10:09:06,TRADE,13.79,3500
119,2016-09-05 10:09:06,BID,13.79,9600
120,2016-09-05 10:09:06,TRADE,13.8,700
121,2016-09-05 10:09:06,BID,13.79,9500
122,2016-09-05 10:09:06,ASK,13.8,45000
123,2016-09-05 10:09:06,TRADE,13.8,700
124,2016-09-05 10:09:06,ASK,13.8,44300
125,2016-09-05 10:09:06,TRADE,13.79,200
126,2016-09-05 10:09:06,BID,13.79,9300
127,2016-09-05 10:09:06,TRADE,13.8,300
128,2016-09-05 10:09:06,ASK,13.8,44000
129,2016-09-05 10:09:06,TRADE,13.8,300
130,2016-09-05 10:09:06,ASK,13.8,43700
132,2016-09-05 10:09:06,TRADE,13.79,800
133,2016-09-05 10:09:06,TRADE,13.79,800
134,2016-09-05 10:09:06,TRADE,13.79,1400
135,2016-09-05 10:09:06,BID,13.79,6300
136,2016-09-05 10:09:06,TRADE,13.8,700
137,2016-09-05 10:09:06,ASK,13.8,43000
138,2016-09-05 10:09:06,TRADE,13.8,700
139,2016-09-05 10:09:06,ASK,13.8,42300
140,2016-09-05 10:09:06,ASK,13.8,47300
141,2016-09-05 10:09:06,TRADE,13.8,600
142,2016-09-05 10:09:06,ASK,13.8,46700
143,2016-09-05 10:09:06,TRADE,13.8,200
144,2016-09-05 10:09:06,ASK,13.8,46500
145,2016-09-05 10:09:06,TRADE,13.8,200
146,2016-09-05 10:09:06,ASK,13.8,46300
147,2016-09-05 10:09:06,TRADE,13.79,1400
148,2016-09-05 10:09:06,BID,13.79,4900
149,2016-09-05 10:09:06,TRADE,13.8,500
150,2016-09-05 10:09:06,ASK,13.8,45800
151,2016-09-05 10:09:06,TRADE,13.8,400
152,2016-09-05 10:09:06,TRADE,13.8,100
153,2016-09-05 10:09:06,ASK,13.8,45300
154,2016-09-05 10:09:06,TRADE,13.79,700
155,2016-09-05 10:09:06,BID,13.79,4200
156,2016-09-05 10:09:06,TRADE,13.8,300
157,2016-09-05 10:09:06,ASK,13.8,45000
158,2016-09-05 10:09:06,TRADE,13.8,300
159,2016-09-05 10:09:06,ASK,13.8,44700
160,2016-09-05 10:09:06,TRADE,13.79,500
161,2016-09-05 10:09:06,BID,13.79,3700
162,2016-09-05 10:09:06,TRADE,13.8,200
163,2016-09-05 10:09:06,ASK,13.8,44500
164,2016-09-05 10:09:06,TRADE,13.8,100
165,2016-09-05 10:09:06,TRADE,13.8,100
166,2016-09-05 10:09:06,ASK,13.8,44300
167,2016-09-05 10:09:06,TRADE,13.79,500
168,2016-09-05 10:09:06,BID,13.79,3200
169,2016-09-05 10:09:06,TRADE,13.8,100
170,2016-09-05 10:09:06,ASK,13.8,44200
171,2016-09-05 10:09:06,TRADE,13.8,100
172,2016-09-05 10:09:06,TRADE,13.8,100
173,2016-09-05 10:09:06,ASK,13.8,44000
174,2016-09-05 10:09:06,TRADE,13.8,100
175,2016-09-05 10:09:06,ASK,13.8,43900
176,2016-09-05 10:09:06,TRADE,13.8,100
177,2016-09-05 10:09:06,ASK,13.8,43800
178,2016-09-05 10:09:06,TRADE,13.8,100
179,2016-09-05 10:09:06,ASK,13.8,43700
180,2016-09-05 10:09:06,BID,13.79,3500
181,2016-09-05 10:09:06,TRADE,13.8,1000
182,2016-09-05 10:09:06,ASK,13.8,42700
183,2016-09-05 10:09:06,TRADE,13.8,100
184,2016-09-05 10:09:06,ASK,13.8,42600
185,2016-09-05 10:09:06,TRADE,13.8,200
186,2016-09-05 10:09:06,BID,13.79,3200
187,2016-09-05 10:09:06,ASK,13.8,42400
188,2016-09-05 10:09:06,TRADE,13.79,500
189,2016-09-05 10:09:06,TRADE,13.79,200
190,2016-09-05 10:09:06,BID,13.79,2500
191,2016-09-05 10:09:06,BID,13.79,7500
192,2016-09-05 10:09:06,TRADE,13.8,200
193,2016-09-05 10:09:06,ASK,13.8,42200
194,2016-09-05 10:09:06,TRADE,13.8,200
195,2016-09-05 10:09:06,ASK,13.8,42000
196,2016-09-05 10:09:06,BID,13.79,10200
197,2016-09-05 10:09:06,TRADE,13.79,700
198,2016-09-05 10:09:06,BID,13.79,9500
199,2016-09-05 10:09:06,TRADE,13.8,100
200,2016-09-05 10:09:06,ASK,13.8,41900
201,2016-09-05 10:09:06,TRADE,13.8,100
202,2016-09-05 10:09:06,ASK,13.8,41800
203,2016-09-05 10:09:06,BID,13.79,8300
204,2016-09-05 10:09:06,TRADE,13.8,100
205,2016-09-05 10:09:06,ASK,13.8,41700
206,2016-09-05 10:09:06,BID,13.79,7700
207,2016-09-05 10:09:06,TRADE,13.8,100
208,2016-09-05 10:09:06,ASK,13.8,41600
209,2016-09-05 10:09:06,TRADE,13.8,100
210,2016-09-05 10:09:06,ASK,13.8,41500
211,2016-09-05 10:09:06,TRADE,13.8,100
212,2016-09-05 10:09:06,ASK,13.8,41400
213,2016-09-05 10:09:06,BID,13.79,8000
214,2016-09-05 10:09:06,TRADE,13.8,200
215,2016-09-05 10:09:06,ASK,13.8,41200
216,2016-09-05 10:09:06,TRADE,13.8,100
217,2016-09-05 10:09:06,ASK,13.8,41100
218,2016-09-05 10:09:06,TRADE,13.79,100
219,2016-09-05 10:09:06,BID,13.79,7900
220,2016-09-05 10:09:06,TRADE,13.8,100
221,2016-09-05 10:09:06,ASK,13.8,41000
222,2016-09-05 10:09:06,TRADE,13.8,100
223,2016-09-05 10:09:06,ASK,13.8,40900
224,2016-09-05 10:09:06,BID,13.79,8300
225,2016-09-05 10:09:06,BID,13.79,8600
226,2016-09-05 10:09:06,TRADE,13.8,11800
227,2016-09-05 10:09:06,TRADE,13.8,100
228,2016-09-05 10:09:06,TRADE,13.8,12500
229,2016-09-05 10:09:06,TRADE,13.8,200
230,2016-09-05 10:09:06,TRADE,13.8,500
231,2016-09-05 10:09:06,TRADE,13.8,500
232,2016-09-05 10:09:06,TRADE,13.8,3100
233,2016-09-05 10:09:06,ASK,13.8,12200
234,2016-09-05 10:09:06,ASK,13.8,7200
235,2016-09-05 10:09:06,TRADE,13.8,200
236,2016-09-05 10:09:06,ASK,13.8,7000
237,2016-09-05 10:09:06,TRADE,13.8,1900
238,2016-09-05 10:09:06,BID,13.79,8200
239,2016-09-05 10:09:06,ASK,13.8,5100
240,2016-09-05 10:09:06,TRADE,13.8,2200
241,2016-09-05 10:09:06,BID,13.79,7900
242,2016-09-05 10:09:06,ASK,13.8,2900
243,2016-09-05 10:09:06,ASK,13.8,3400
244,2016-09-05 10:09:07,TRADE,13.8,2900
245,2016-09-05 10:09:07,TRADE,13.8,200
246,2016-09-05 10:09:07,ASK,13.8,300
247,2016-09-05 10:09:07,ASK,13.8,800
248,2016-09-05 10:09:07,TRADE,13.8,300
249,2016-09-05 10:09:07,TRADE,13.8,500
250,2016-09-05 10:09:07,ASK,13.81,23900
251,2016-09-05 10:09:07,TRADE,13.81,300
252,2016-09-05 10:09:07,TRADE,13.81,200
253,2016-09-05 10:09:07,TRADE,13.81,1900
253,2016-09-05 10:09:07,ASK,13.81,21500
254,2016-09-05 10:09:07,ASK,13.81,9000
255,2016-09-05 10:09:07,TRADE,13.81,300
256,2016-09-05 10:09:07,TRADE,13.81,1200
257,2016-09-05 10:09:07,ASK,13.81,7500
258,2016-09-05 10:09:07,TRADE,13.81,200
259,2016-09-05 10:09:07,TRADE,13.81,1400
260,2016-09-05 10:09:07,ASK,13.81,5900
261,2016-09-05 10:09:07,TRADE,13.81,300
262,2016-09-05 10:09:07,ASK,13.81,5600
263,2016-09-05 10:09:07,ASK,13.81,6100
264,2016-09-05 10:09:07,TRADE,13.81,600
265,2016-09-05 10:09:07,ASK,13.81,5500
266,2016-09-05 10:09:07,ASK,13.81,6000
267,2016-09-05 10:09:07,TRADE,13.81,400
268,2016-09-05 10:09:07,ASK,13.81,5600
269,2016-09-05 10:09:07,TRADE,13.81,100
270,2016-09-05 10:09:07,ASK,13.81,5500
271,2016-09-05 10:09:07,TRADE,13.79,600
272,2016-09-05 10:09:07,BID,13.79,7300
273,2016-09-05 10:09:07,TRADE,13.81,200
274,2016-09-05 10:09:07,ASK,13.81,5300
275,2016-09-05 10:09:07,TRADE,13.81,300
276,2016-09-05 10:09:07,ASK,13.81,5000
277,2016-09-05 10:09:07,ASK,13.8,500
278,2016-09-05 10:09:07,TRADE,13.8,100
279,2016-09-05 10:09:07,ASK,13.8,400
280,2016-09-05 10:09:07,TRADE,13.8,400
281,2016-09-05 10:09:07,BID,13.8,100
282,2016-09-05 10:09:07,ASK,13.81,5000
283,2016-09-05 10:09:07,BID,13.8,5100
285,2016-09-05 10:09:07,TRADE,13.81,100
286,2016-09-05 10:09:07,ASK,13.81,4900
287,2016-09-05 10:09:07,BID,13.8,5000
288,2016-09-05 10:09:07,TRADE,13.81,800
289,2016-09-05 10:09:07,ASK,13.81,4100
290,2016-09-05 10:09:07,TRADE,13.81,300
291,2016-09-05 10:09:07,ASK,13.81,3800
292,2016-09-05 10:09:07,TRADE,13.8,500
293,2016-09-05 10:09:07,BID,13.8,4500
294,2016-09-05 10:09:07,TRADE,13.81,400
295,2016-09-05 10:09:07,ASK,13.81,3400
296,2016-09-05 10:09:07,TRADE,13.81,300
297,2016-09-05 10:09:07,ASK,13.81,3100
298,2016-09-05 10:09:07,TRADE,13.8,500
299,2016-09-05 10:09:07,BID,13.8,4000
300,2016-09-05 10:09:07,TRADE,13.81,200
301,2016-09-05 10:09:07,ASK,13.81,2900
302,2016-09-05 10:09:07,TRADE,13.81,200
303,2016-09-05 10:09:07,ASK,13.81,2700
304,2016-09-05 10:09:07,TRADE,13.8,500
305,2016-09-05 10:09:07,BID,13.8,3500
306,2016-09-05 10:09:07,TRADE,13.81,100
307,2016-09-05 10:09:07,ASK,13.81,2600
308,2016-09-05 10:09:07,TRADE,13.81,100
309,2016-09-05 10:09:07,ASK,13.81,2500
310,2016-09-05 10:09:07,TRADE,13.8,500
311,2016-09-05 10:09:07,BID,13.8,3000
312,2016-09-05 10:09:07,TRADE,13.81,200
313,2016-09-05 10:09:07,ASK,13.81,2300
314,2016-09-05 10:09:07,TRADE,13.81,200
315,2016-09-05 10:09:07,ASK,13.81,2100
316,2016-09-05 10:09:07,TRADE,13.8,500
317,2016-09-05 10:09:07,BID,13.8,2500
318,2016-09-05 10:09:07,TRADE,13.81,200
319,2016-09-05 10:09:07,ASK,13.81,1900
320,2016-09-05 10:09:07,TRADE,13.81,200
321,2016-09-05 10:09:07,ASK,13.81,1700
325,2016-09-05 10:09:07,TRADE,13.8,500
326,2016-09-05 10:09:07,BID,13.8,2000
327,2016-09-05 10:09:07,TRADE,13.81,200
328,2016-09-05 10:09:07,ASK,13.81,1500
329,2016-09-05 10:09:07,TRADE,13.81,200
330,2016-09-05 10:09:07,ASK,13.81,1300
331,2016-09-05 10:09:07,TRADE,13.8,500
332,2016-09-05 10:09:07,BID,13.8,1500
333,2016-09-05 10:09:07,TRADE,13.81,100
334,2016-09-05 10:09:07,ASK,13.81,1200
335,2016-09-05 10:09:07,TRADE,13.81,200
336,2016-09-05 10:09:07,ASK,13.81,1000
337,2016-09-05 10:09:07,ASK,13.81,6000
338,2016-09-05 10:09:07,TRADE,13.81,100
339,2016-09-05 10:09:07,ASK,13.81,5900
340,2016-09-05 10:09:07,TRADE,13.81,100
341,2016-09-05 10:09:07,ASK,13.81,5800
342,2016-09-05 10:09:07,TRADE,13.8,500
343,2016-09-05 10:09:07,BID,13.8,1000
344,2016-09-05 10:09:07,BID,13.8,2200
345,2016-09-05 10:09:07,TRADE,13.81,100
346,2016-09-05 10:09:07,ASK,13.81,5700
347,2016-09-05 10:09:07,ASK,13.81,5500
348,2016-09-05 10:09:07,BID,13.8,3000
349,2016-09-05 10:09:07,ASK,13.81,6000
350,2016-09-05 10:09:07,ASK,13.81,5500
351,2016-09-05 10:09:07,TRADE,13.8,900
352,2016-09-05 10:09:07,BID,13.8,2100
353,2016-09-05 10:09:07,ASK,13.81,6000
354,2016-09-05 10:09:07,TRADE,13.8,100
355,2016-09-05 10:09:07,BID,13.8,2000
356,2016-09-05 10:09:07,TRADE,13.8,500
357,2016-09-05 10:09:07,BID,13.8,1500
358,2016-09-05 10:09:07,ASK,13.81,5500
359,2016-09-05 10:09:07,BID,13.8,6500
360,2016-09-05 10:09:07,ASK,13.81,6000
361,2016-09-05 10:09:07,TRADE,13.8,200
362,2016-09-05 10:09:07,BID,13.8,6300
363,2016-09-05 10:09:07,TRADE,13.8,500
364,2016-09-05 10:09:07,BID,13.8,5800
365,2016-09-05 10:09:07,ASK,13.81,5500
366,2016-09-05 10:09:07,TRADE,13.8,800
367,2016-09-05 10:09:07,BID,13.8,5000
368,2016-09-05 10:09:07,TRADE,13.8,500
369,2016-09-05 10:09:07,BID,13.8,4500
370,2016-09-05 10:09:07,BID,13.8,5300
371,2016-09-05 10:09:07,BID,13.8,6100
372,2016-09-05 10:09:07,TRADE,13.8,500
373,2016-09-05 10:09:07,BID,13.8,5600
374,2016-09-05 10:09:07,TRADE,13.8,1000
375,2016-09-05 10:09:07,BID,13.8,4600
376,2016-09-05 10:09:07,ASK,13.81,6000
377,2016-09-05 10:09:07,TRADE,13.8,500
378,2016-09-05 10:09:07,BID,13.8,4100
379,2016-09-05 10:09:07,ASK,13.81,5500
380,2016-09-05 10:09:07,TRADE,13.8,1000
381,2016-09-05 10:09:07,BID,13.8,3100
382,2016-09-05 10:09:07,ASK,13.81,6000
383,2016-09-05 10:09:07,TRADE,13.8,1000
384,2016-09-05 10:09:07,BID,13.8,2100
385,2016-09-05 10:09:07,TRADE,13.8,500
386,2016-09-05 10:09:07,BID,13.8,1600
387,2016-09-05 10:09:07,ASK,13.81,5500
388,2016-09-05 10:09:07,BID,13.8,6600
389,2016-09-05 10:09:07,TRADE,13.81,100
390,2016-09-05 10:09:07,BID,13.8,5800
391,2016-09-05 10:09:07,ASK,13.81,5400
392,2016-09-05 10:09:07,TRADE,13.8,500
393,2016-09-05 10:09:07,BID,13.8,5300
394,2016-09-05 10:09:07,TRADE,13.8,300
395,2016-09-05 10:09:07,TRADE,13.8,700
396,2016-09-05 10:09:07,BID,13.8,4300
397,2016-09-05 10:09:07,BID,13.8,5700
398,2016-09-05 10:09:07,TRADE,13.81,300
399,2016-09-05 10:09:07,ASK,13.81,5100
400,2016-09-05 10:09:07,TRADE,13.8,500
401,2016-09-05 10:09:07,BID,13.8,5200
402,2016-09-05 10:09:07,TRADE,13.81,200
403,2016-09-05 10:09:07,ASK,13.81,4900
404,2016-09-05 10:09:07,TRADE,13.81,700
405,2016-09-05 10:09:07,ASK,13.81,4200
406,2016-09-05 10:09:07,TRADE,13.8,1000
407,2016-09-05 10:09:07,BID,13.8,4200
408,2016-09-05 10:09:07,ASK,13.81,4700
409,2016-09-05 10:09:07,TRADE,13.81,400
410,2016-09-05 10:09:07,ASK,13.81,4300
411,2016-09-05 10:09:07,TRADE,13.8,300
412,2016-09-05 10:09:07,BID,13.8,3900
414,2016-09-05 10:09:07,TRADE,13.81,100
415,2016-09-05 10:09:07,ASK,13.81,4200
416,2016-09-05 10:09:07,TRADE,13.8,500
417,2016-09-05 10:09:07,BID,13.8,3400
418,2016-09-05 10:09:07,ASK,13.81,3700
419,2016-09-05 10:09:07,TRADE,13.81,100
420,2016-09-05 10:09:07,ASK,13.81,3600
421,2016-09-05 10:09:07,TRADE,13.8,700
422,2016-09-05 10:09:07,BID,13.8,2700
423,2016-09-05 10:09:07,TRADE,13.8,500
424,2016-09-05 10:09:07,BID,13.8,2200
425,2016-09-05 10:09:07,TRADE,13.81,200
426,2016-09-05 10:09:07,ASK,13.81,3400
427,2016-09-05 10:09:07,TRADE,13.8,800
428,2016-09-05 10:09:07,TRADE,13.8,200
429,2016-09-05 10:09:07,BID,13.8,1200
430,2016-09-05 10:09:07,TRADE,13.8,500
431,2016-09-05 10:09:07,BID,13.8,700
432,2016-09-05 10:09:07,BID,13.79,4300
433,2016-09-05 10:09:07,TRADE,13.81,300
434,2016-09-05 10:09:07,ASK,13.81,3100
435,2016-09-05 10:09:07,BID,13.8,700
436,2016-09-05 10:09:07,TRADE,13.81,200
437,2016-09-05 10:09:07,ASK,13.81,2900
438,2016-09-05 10:09:07,TRADE,13.8,500
439,2016-09-05 10:09:07,BID,13.8,200
440,2016-09-05 10:09:07,BID,13.8,300
441,2016-09-05 10:09:07,TRADE,13.8,200
442,2016-09-05 10:09:07,TRADE,13.8,100
443,2016-09-05 10:09:07,BID,13.79,4300
444,2016-09-05 10:09:07,ASK,13.8,400
445,2016-09-05 10:09:07,TRADE,13.8,200
446,2016-09-05 10:09:07,ASK,13.8,200
447,2016-09-05 10:09:07,TRADE,13.8,100
448,2016-09-05 10:09:07,ASK,13.8,100
450,2016-09-05 10:09:07,TRADE,13.79,4300
451,2016-09-05 10:09:07,BID,13.78,29400
452,2016-09-05 10:09:07,ASK,13.79,12500
453,2016-09-05 10:09:07,BID,13.78,16900
455,2016-09-05 10:09:07,TRADE,13.79,900
456,2016-09-05 10:09:07,ASK,13.79,11600
457,2016-09-05 10:09:07,TRADE,13.79,100
458,2016-09-05 10:09:07,ASK,13.79,11500
460,2016-09-05 10:09:07,BID,13.78,18500
461,2016-09-05 10:09:07,TRADE,13.79,200
462,2016-09-05 10:09:07,ASK,13.79,11300
463,2016-09-05 10:09:07,TRADE,13.79,11300
464,2016-09-05 10:09:07,ASK,13.8,5100
465,2016-09-05 10:09:07,BID,13.79,5000
468,2016-09-05 10:09:07,BID,13.79,5800
469,2016-09-05 10:09:07,TRADE,13.8,100
470,2016-09-05 10:09:07,TRADE,13.8,900
471,2016-09-05 10:09:07,ASK,13.8,4100
472,2016-09-05 10:09:07,TRADE,13.8,2200
473,2016-09-05 10:09:07,BID,13.79,5000
474,2016-09-05 10:09:07,ASK,13.8,1900
475,2016-09-05 10:09:07,TRADE,13.8,600
476,2016-09-05 10:09:07,ASK,13.8,1300
477,2016-09-05 10:09:07,TRADE,13.8,600
478,2016-09-05 10:09:07,ASK,13.8,700
479,2016-09-05 10:09:07,ASK,13.81,2900
481,2016-09-05 10:09:07,TRADE,13.81,200
482,2016-09-05 10:09:07,ASK,13.81,2700
483,2016-09-05 10:09:07,TRADE,13.81,200
484,2016-09-05 10:09:07,ASK,13.81,2500
485,2016-09-05 10:09:07,BID,13.8,1600
487,2016-09-05 10:09:07,TRADE,13.81,100
488,2016-09-05 10:09:07,ASK,13.81,2400
489,2016-09-05 10:09:07,TRADE,13.81,100
490,2016-09-05 10:09:07,BID,13.79,5000
491,2016-09-05 10:09:07,ASK,13.81,2300
493,2016-09-05 10:09:07,BID,13.8,900
495,2016-09-05 10:09:07,TRADE,13.81,1500
496,2016-09-05 10:09:07,ASK,13.81,800
497,2016-09-05 10:09:07,BID,13.8,7000
498,2016-09-05 10:09:07,TRADE,13.81,300
499,2016-09-05 10:09:07,BID,13.8,6100
500,2016-09-05 10:09:07,ASK,13.81,500
501,2016-09-05 10:09:07,ASK,13.81,5500
502,2016-09-05 10:09:07,TRADE,13.81,400
503,2016-09-05 10:09:07,ASK,13.81,5100
